Filename,Start,Text,Definitional?,Notes
BillGates_2014-480p.eng.srt,0:15:25.000570,"I don't care how big or small the building is,",0,
BillGates_2014-480p.eng.srt,0:15:43.000691,three or four weeks ago. Where was this?,0,
BillGates_2014-480p.eng.srt,0:19:58.000984,either to society or to the kids.,0,
BillGates_2014-480p.eng.srt,0:21:11.000164,"more than, or 95 percent of your wealth,",0,
BoydVarty_2013W-480p.eng.srt,0:03:32.000743,It's not a new idea or value,0,
BranFerren_2014-480p.eng.srt,0:09:00.000778,and focus on one or the other.,0,
BranFerren_2014-480p.eng.srt,0:10:03.000546,"rich or smart you are,",0,
CarinBondar_2013G-480p.eng.srt,0:00:45.000304,shared between two or more beings.,0,
CarinBondar_2013G-480p.eng.srt,0:05:44.000621,are not bigger or stronger,0,
CarinBondar_2013G-480p.eng.srt,0:06:20.000343,through superior mechanical or stimulatory interaction,0,
CatherineBracy_2013Z-480p.eng.srt,0:04:08.000613,where you enter a search term or a question,0,
CatherineBracy_2013Z-480p.eng.srt,0:08:14.000336,besides voting or signing a petition or protesting.,0,
CharlieRose_2014-480p.eng.srt,0:04:35.000556,"or your information needs, or things like that.",0,
CharlieRose_2014-480p.eng.srt,0:09:50.000251,for five years or more,0,
CharlieRose_2014-480p.eng.srt,0:15:58.000052,There's 20 million people or more injured per year.,0,
CharmianGooch_2014-480p.eng.srt,0:03:17.000143,like oil or diamonds or timber,0,
CharmianGooch_2014-480p.eng.srt,0:05:13.000741,Pay up or lose your home.,0,
CharmianGooch_2014-480p.eng.srt,0:09:13.000493,will take a few hours or more to process it.,0,
ChrisEmdin_2013S-480p.eng.srt,0:01:27.000462,to convince his mom or dad,0,
ChrisEmdin_2013S-480p.eng.srt,0:02:08.000334,"have never imagined or seen before,",0,
ChrisEmdin_2013S-480p.eng.srt,0:03:43.000708,"not in any college or university,",0,
ChrisHadfield_2014-480p.eng.srt,0:00:50.000189,"about one in 38 or so -- one in 35, one in 40.",0,
ChrisHadfield_2014-480p.eng.srt,0:03:20.000261,like an elephant getting up off its knees or something.,0,
ChrisHadfield_2014-480p.eng.srt,0:05:01.000272,someone's pouring cement on you or something.,0,
ChrisHadfield_2014-480p.eng.srt,0:05:04.000640,"after about eight minutes and 40 seconds or so,",0,
ChrisHadfield_2014-480p.eng.srt,0:06:49.000766,a sunrise or a sunset every 45 minutes,0,
ChrisHadfield_2014-480p.eng.srt,0:09:11.000579,sitting on the chair beside me or not?,0,
ChrisHadfield_2014-480p.eng.srt,0:10:52.000684,"or into your grandma's attic or whatever,",0,
ChrisMcKnett_2012S-480p.eng.srt,0:06:52.000871,So if the returns are the same or better,0,
ChristopherRyan_2013-480p.eng.srt,0:09:42.000069,"no common language or anything,",0,
ChristopherRyan_2013-480p.eng.srt,0:11:02.000010,"like same-sex marriage or polyamorous unions,",0,
ChristopherRyan_2013-480p.eng.srt,0:13:33.000318,It's the idea that if you love your husband or wife,0,
ChristopherSoghoian_2013U-480p.eng.srt,0:05:02.000305,"In the last year or so, the company",0,
DanBerkenstock_2013S-480p.eng.srt,0:06:00.000803,"So about three or four weeks later,",0,
DanBerkenstock_2013S-480p.eng.srt,0:08:50.000378,a constellation of 24 or more of these satellites,0,
DanielReisel_2013-480p.eng.srt,0:01:48.000256,At the age of five or six,0,
DavidBrooks_2014U-480p.eng.srt,0:04:26.000862,Nothing which is true or beautiful or good makes,0,
DavidBrooks_2014U-480p.eng.srt,0:04:44.000975,from the standpoint of our friend or foe as from our own standpoint.,0,
DavidLang_2013U-480p.eng.srt,0:01:04.000548,or improve or change the design.,0,
DavidPuttnam_2013X-480p.eng.srt,0:01:18.000794,You must take care to avoid acts or omissions,0,
DavidPuttnam_2013X-480p.eng.srt,0:02:55.000856,"and especially over the past decade or so,",0,
DavidPuttnam_2013X-480p.eng.srt,0:03:12.000645,"either physically, mentally or economically.",0,
DavidPuttnam_2013X-480p.eng.srt,0:05:07.000169,would be likely to undermine or even damage,0,
DavidPuttnam_2013X-480p.eng.srt,0:05:35.000415,their own work outside or above what he or she,0,
DavidPuttnam_2013X-480p.eng.srt,0:06:44.000696,"not those enforced on us by a censor or legislation,",0,
DavidPuttnam_2013X-480p.eng.srt,0:07:04.000273,the responsibility of the artist or the journalist,0,
DavidSengeh_2014U-480p.eng.srt,0:04:22.000405,"Whether it's in Sierra Leone or in Boston,",0,
DelHarvey_2014-480p.eng.srt,0:02:37.000053,"why, and whether or not there's risk involved,",0,
DelHarvey_2014-480p.eng.srt,0:04:01.000401,"So okay, determining whether or not",0,
DelHarvey_2014-480p.eng.srt,0:06:02.000286,It's an issue for anybody who's building or creating,0,
DelHarvey_2014-480p.eng.srt,0:08:46.000433,or to connect or share information with each other.,0,
DianaNyad_2013W-480p.eng.srt,0:01:56.000926,"or any people or anything?""",0,
EddyCartaya_2013Y-480p.eng.srt,0:01:16.000105,that no one had ever seen or gone to before.,0,
EddyCartaya_2013Y-480p.eng.srt,0:01:21.000123,"Well, those of you who have ever seen or touched snow,",0,
EddyCartaya_2013Y-480p.eng.srt,0:02:20.000918,Different waterfalls pop up or move around,0,
EddyCartaya_2013Y-480p.eng.srt,0:03:39.000966,"Well, cave maps aren't like trail maps or road maps",0,
EddyCartaya_2013Y-480p.eng.srt,0:05:13.000602,There was a huge pit or shaft called a moulin,0,
EdwardSnowden_2014-480p.eng.srt,0:25:40.000130,"It's not left or right, it's not really about",0,
EdwardSnowden_2014-480p.eng.srt,0:25:42.000384,"pro-government, libertarian, or not just that.",0,
EdwardSnowden_2014-480p.eng.srt,0:26:09.000140,This is not a left or right issue.,0,
EdYong_2014-480p.eng.srt,0:00:27.000778,seeking safety in numbers or hunting in packs,0,
EdYong_2014-480p.eng.srt,0:00:30.000744,"or gathering to mate or breed,",0,
EdYong_2014-480p.eng.srt,0:07:18.000151,"or fly or run if it chose to,",0,
EdYong_2014-480p.eng.srt,0:08:00.000539,These hosts won't get to survive or reproduce.,0,
EdYong_2014-480p.eng.srt,0:08:17.000824,and what are arguments or advertising or big ideas,0,
EdYong_2014-480p.eng.srt,0:09:50.000628,"if Toxo gets into a rat or a mouse,",0,
EdYong_2014-480p.eng.srt,0:12:31.000228,as any panda or butterfly or dolphin.,0,
EnriquePenelosa_2013Z-480p.eng.srt,0:00:20.000161,"or education or housing,",0,
EnriquePenelosa_2013Z-480p.eng.srt,0:00:33.000016,"more than a matter of money or technology,",0,
EnriquePenelosa_2013Z-480p.eng.srt,0:04:55.000407,Just as fish need to swim or birds need to fly,0,
EnriquePenelosa_2013Z-480p.eng.srt,0:05:28.000930,is not highways or subways,0,
EnriquePenelosa_2013Z-480p.eng.srt,0:06:37.000856,A city could find oil or diamonds underground,0,
EnriquePenelosa_2013Z-480p.eng.srt,0:07:05.000753,"or in Paris or in London,",0,
EnriquePenelosa_2013Z-480p.eng.srt,0:08:10.000162,will be built over the next four or five decades.,0,
EnriquePenelosa_2013Z-480p.eng.srt,0:08:20.000299,must be built over the next 40 or 50 years.,0,
EnriquePenelosa_2013Z-480p.eng.srt,0:09:59.000665,such as children or the elderly.,0,
EnriquePenelosa_2013Z-480p.eng.srt,0:12:39.000490,mass transit or to use bicycles in such environments.,0,
FredericKaplan_2013X-480p.eng.srt,0:06:52.000015,with one or two or three days' precision.,0,
FredericKaplan_2013X-480p.eng.srt,0:09:48.000208,in small groups or only with a couple of researchers.,0,
GabeBarciaColombo_2013U-480p.eng.srt,0:00:26.000908,"usually on small wood blocks or matchboxes,",0,
GabeBarciaColombo_2013U-480p.eng.srt,0:04:16.000969,"like Grand Central or Penn Station,",0,
GabeBarciaColombo_2013U-480p.eng.srt,0:04:31.000110,"3D printing or buying caviar from a vending machine,",0,
GeenaRocero_2014-480p.eng.srt,0:08:25.000427,encountering a child or a person,0,
GeraldineHamilton_2013X-480p.eng.srt,0:11:49.000218,in order to link 10 or more organ chips together.,0,
GregAsner_2013G-480p.eng.srt,0:00:55.000791,until his or her view is obstructed by vegetation.,0,
GregAsner_2013G-480p.eng.srt,0:04:22.000209,"such as from the ground, or from satellite sensors.",0,
GuyHoffman_2013X-480p.eng.srt,0:08:01.000719,And nobody ever called it 'he' or 'she'.,0,
GuyHoffman_2013X-480p.eng.srt,0:14:25.000438,"looking at the iPhone too much or their smartphone too much,",0,
HenryEvans_2013X-480p.eng.srt,0:04:05.000842,All of us have disabilities in one form or another.,0,
HenryEvans_2013X-480p.eng.srt,0:09:30.000836,"robotics will be used, for good or for evil,",0,
HenryLin_2013Y-480p.eng.srt,0:00:28.000920,"but collections of stars, or galaxies.",0,
HenryLin_2013Y-480p.eng.srt,0:04:55.000713,maybe structure forms faster or slower.,0,
HughHerr_2014-480p.eng.srt,0:00:49.000244,not foreseen or anticipated by nature.,0,
HughHerr_2014-480p.eng.srt,0:02:31.000398,I could be as short as five feet or as tall as I'd like.,0,
HughHerr_2014-480p.eng.srt,0:06:22.000009,"You see a bunch of points, or nodes.",0,
HughHerr_2014-480p.eng.srt,0:11:48.000729,"through channels, or micro-channel rays.",0,
HughHerr_2014-480p.eng.srt,0:13:46.000494,"emotional, sensory or motor condition,",0,
HughHerr_2014-480p.eng.srt,0:14:12.000949,"or the right to walk or to dance,",0,
HughHerr_2014-480p.eng.srt,0:16:33.000773,"diminished, conquered or stopped",0,
JaneMcGonigal_2013G-480p.eng.srt,0:00:30.000918,10 positive emotions in 60 seconds or less.,0,
JaneMcGonigal_2013G-480p.eng.srt,0:01:55.000770,and we can see that three or four,0,
JaneMcGonigal_2013G-480p.eng.srt,0:05:02.000431,"maybe you're starting to win or this person's, like, really into it,",0,
JaneMcGonigal_2013G-480p.eng.srt,0:05:18.000660,"I didn't see anybody sending text messages or checking their email while we were playing,",0,
JaneMcGonigal_2013G-480p.eng.srt,0:06:36.000801,Get ready to update your Twitter or Facebook status.,0,
JaredDiamond_2013-480p.eng.srt,0:00:29.000566,or has parents or grandparents who did live,0,
JaredDiamond_2013-480p.eng.srt,0:02:53.000402,"and not feeding or cleaning them until they die,",0,
JaredDiamond_2013-480p.eng.srt,0:03:08.000818,abandon or kill their parents?,0,
JaredDiamond_2013-480p.eng.srt,0:03:33.000710,"living in marginal or fluctuating environments,",0,
JaredDiamond_2013-480p.eng.srt,0:03:37.000020,"such as the Arctic or deserts,",0,
JaredDiamond_2013-480p.eng.srt,0:03:55.000995,to think of abandoning or killing,0,
JaredDiamond_2013-480p.eng.srt,0:03:58.000228,your own sick wife or husband,0,
JaredDiamond_2013-480p.eng.srt,0:04:00.000409,"or elderly mother or father,",0,
JaredDiamond_2013-480p.eng.srt,0:08:46.000093,a Coke or beer ad depicting smiling people,0,
JaredDiamond_2013-480p.eng.srt,0:10:44.000370,we look it up in a book or we Google it,0,
JaredDiamond_2013-480p.eng.srt,0:13:54.000544,and agonizing whether or not,0,
JenniferGolbeck_2013X-480p.eng.srt,0:00:41.000098,either in YouTube videos or blog posts,0,
JenniferGolbeck_2013X-480p.eng.srt,0:00:43.000795,or product reviews or social media postings.,0,
JenniferGolbeck_2013X-480p.eng.srt,0:02:38,"which is not just whether or not a woman's pregnant,",0,
JenniferGolbeck_2013X-480p.eng.srt,0:02:45.000134,"like, she's buying a crib or baby clothes,",0,
JenniferGolbeck_2013X-480p.eng.srt,0:04:55.000099,or Facebook likes or other information,0,
JenniferGolbeck_2013X-480p.eng.srt,0:07:27.000066,rely on sharing or exploiting users' data in some way.,0,
JenniferGolbeck_2013X-480p.eng.srt,0:08:13.000305,to predict whether or not you're using drugs,0,
JenniferGolbeck_2013X-480p.eng.srt,0:08:15.000391,or whether or not you get along well in the workplace.,0,
JenniferGolbeck_2013X-480p.eng.srt,0:08:18.000253,"And that, I think, can affect whether or not",0,
JenniferGolbeck_2013X-480p.eng.srt,0:08:21.000611,"keep it private, or just keep it offline altogether.",0,
KristaDonaldson_2013W-480p.eng.srt,0:02:26.000035,who need a new or replacement knee.,0,
KristaDonaldson_2013W-480p.eng.srt,0:02:41.000798,"veterans, American veterans coming back from Afghanistan or Iraq",0,
KristaDonaldson_2013W-480p.eng.srt,0:06:55.000982,So if you're wearing it under pants or a skirt,0,
LarryLessig_2014-480p.eng.srt,0:02:28.000361,Can you save yourself or save your kind?,0,
LarryLessig_2014-480p.eng.srt,0:10:18.000849,"in New Hampshire or outside of New Hampshire,",0,
LeylaAcaroglu_2013-480p.eng.srt,0:00:19.000381,for a plastic or a paper shopping bag.,0,
LeylaAcaroglu_2013-480p.eng.srt,0:02:54.000748,"no matter how high or low you are in the pecking order,",0,
LeylaAcaroglu_2013-480p.eng.srt,0:04:49.000235,"like a piece of bread, even, or any food waste,",0,
LeylaAcaroglu_2013-480p.eng.srt,0:06:52.000645,that we can't eat or find.,0,
LeylaAcaroglu_2013-480p.eng.srt,0:12:47.000985,"products, systems or services",0,
LeylaAcaroglu_2013-480p.eng.srt,0:16:23.000195,If you just had paper or plastic --,0,
LeylaAcaroglu_2013-480p.eng.srt,0:16:41.000998,but the functionality of a plastic or a paper bag,0,
LianPinKoh_2013G-480p.eng.srt,0:03:57.000498,to watch out for poachers or people,0,
LianPinKoh_2013G-480p.eng.srt,0:04:16.000120,"taking pictures or videos along the way,",0,
LianPinKoh_2013G-480p.eng.srt,0:05:14.000978,where you might find an orangutan or its nest.,0,
LianPinKoh_2013G-480p.eng.srt,0:08:18.000684,and therefore they are very useful for detecting poachers or their campfires at night.,0,
LianPinKoh_2013G-480p.eng.srt,0:10:54.000765,which would allow the user or the operator,0,
LukeSyson_2013X-480p.eng.srt,0:00:41.000425,"Or then there's this, or rather these:",0,
LukeSyson_2013X-480p.eng.srt,0:04:40.000885,Where all the little girls would come either as a princess or a fairy.,0,
LukeSyson_2013X-480p.eng.srt,0:09:34.000697,"have to follow one another, or are deemed to do so.",0,
MaryJepsen_2013-480p.eng.srt,0:00:43.000537,Are you still smart or not?,0,
MaryJepsen_2013-480p.eng.srt,0:10:05.000525,will it happen in five years or 15 years?,0,
MayaPenn_2013W-480p.eng.srt,0:00:30.000463,"and a scripting salad with or without polymorphic dressing,",0,
MayaPenn_2013W-480p.eng.srt,0:01:27.000534,"I don't know if I said it mentally or out loud,",0,
MayaPenn_2013W-480p.eng.srt,0:04:03.000829,"and say, &quot;This could be a scarf or a hat,&quot;",0,
MayaPenn_2013W-480p.eng.srt,0:05:45.000238,making it toxic to anyone or anything that inhales it.,0,
MaysoonZayid_2013W-480p.eng.srt,0:10:59.000782,but I was never made fun of as a child or an adult.,0,
McKennaPope_2013Y-480p.eng.srt,0:01:05.000649,"was they would only feature girls on the boxes or in the commercials,",0,
McKennaPope_2013Y-480p.eng.srt,0:03:10.000404,"that even as a kid, or maybe even especially as a kid,",0,
MickCornett_2013P-480p.eng.srt,0:01:28.000274,"so the price of cotton or the price of wheat,",0,
MickCornett_2013P-480p.eng.srt,0:03:31.000385,all 75 buildings either built anew or refurbished.,0,
MickCornett_2013P-480p.eng.srt,0:05:42.000494,"that I was gaining about two or three pounds a year,",0,
MickCornett_2013P-480p.eng.srt,0:05:45.000185,"and then about every 10 years, I'd drop 20 or 30 pounds.",0,
MollyStevens_2013G-480p.eng.srt,0:04:58.000933,at some point or other.,0,
MollyStevens_2013G-480p.eng.srt,0:13:00.000337,either from dying or help it to regenerate.,0,
MollyStevens_2013G-480p.eng.srt,0:14:33.000546,"however big or small they are,",0,
NicolasPerony_2013X-480p.eng.srt,0:02:53.000801,"which side I'm on, biology or physics?",0,
NicolasPerony_2013X-480p.eng.srt,0:05:11.000733,"or split between three or more boxes,",0,
NicolasPerony_2013X-480p.eng.srt,0:13:17.000446,"For examples, in sea horses or in koalas, in fact,",0,
PaulaJohnson_2013W-480p.eng.srt,0:00:54.000906,She no longer worked or traveled.,0,
PaulaJohnson_2013W-480p.eng.srt,0:13:30.000847,Is this disease or treatment different in women?,0,
PaulaJohnson_2013W-480p.eng.srt,0:14:01.000302,a friend or a grandmother.,0,
PaulPiff_2013X-480p.eng.srt,0:06:21.000051,someone who's rich or someone who's poor.,0,
PaulPiff_2013X-480p.eng.srt,0:07:06.000447,to see who's more or less likely to cheat,0,
PaulPiff_2013X-480p.eng.srt,0:08:17.000814,are more or less inclined to break the law.,0,
PaulPiff_2013X-480p.eng.srt,0:10:07.000216,"of when, or if, to put our own interests",0,
PaulPiff_2013X-480p.eng.srt,0:14:44.000387,"innate or categorical,",0,
PeterDoolittle_2013G-480p.eng.srt,0:01:36.000237,I want to be president or the best surfer in the world.,0,
PeterDoolittle_2013G-480p.eng.srt,0:03:57.000284,Some will be down to two or three.,0,
PeterDoolittle_2013G-480p.eng.srt,0:04:56.000759,"decide whether or not we like it,",0,
PhilipEvans_2013S-480p.eng.srt,0:01:58.000281,A company or a business might actually be advantaged,0,
PhilipEvans_2013S-480p.eng.srt,0:02:22.000085,was in some sense the sum or the average,0,
PhilipEvans_2013S-480p.eng.srt,0:04:16.000761,in order to penetrate or attack,0,
PhilipEvans_2013S-480p.eng.srt,0:07:07.000356,It's on a server or it's on a P.C.,0,
PhilipEvans_2013S-480p.eng.srt,0:08:03.000024,this just in the last 10 or 11 years.,0,
PhilipEvans_2013S-480p.eng.srt,0:08:39.000060,a five or six order of magnitude drop,0,
PhilipEvans_2013S-480p.eng.srt,0:08:53.000424,"cost millions, or even tens of thousands,",0,
PhilipEvans_2013S-480p.eng.srt,0:09:20.000548,"and if he or she hasn't done it already,",0,
PhilipEvans_2013S-480p.eng.srt,0:10:26.000751,how on Earth is that company or is that society,0,
PhilipEvans_2013S-480p.eng.srt,0:11:07.000844,"is evolving, by one means or another,",0,
PhilipEvans_2013S-480p.eng.srt,0:13:37.000906,"in the public sector or the private sector,",0,
RichardLedgett_2014-480p.eng.srt,0:07:16.000566,"whether they're diplomats or military,",0,
RichardLedgett_2014-480p.eng.srt,0:13:03.000964,when they're operating in Russia or the U.K.,0,
RichardLedgett_2014-480p.eng.srt,0:13:07.000414,"or China or India or France,",0,
RichardLedgett_2014-480p.eng.srt,0:16:24.000070,or proliferation or other foreign intelligence target.,0,
RichardLedgett_2014-480p.eng.srt,0:17:21.000995,"but is engaged in doing or supporting terrorist activity,",0,
RichardLedgett_2014-480p.eng.srt,0:17:30.000106,"to a country like Iran or North Korea,",0,
RichardLedgett_2014-480p.eng.srt,0:21:26.000005,I think the numbers are that in the last 30 or 40 years,0,
RichardLedgett_2014-480p.eng.srt,0:21:46.000144,or bioterrorism act or something like that,0,
RichardLedgett_2014-480p.eng.srt,0:22:40.000435,"and interdicting them through one way or another,",0,
RichardLedgett_2014-480p.eng.srt,0:22:52.000179,your idea of nuclear or chem-bio-threat,0,
RichardLedgett_2014-480p.eng.srt,0:28:11.000138,for manufacturing or developing those products.,0,
RogerStein_2013S-480p.eng.srt,0:02:08.000728,or Jose Maria Fernandez or David Fagnan --,0,
RogerStein_2013S-480p.eng.srt,0:07:23.000393,"over 2,000 drugs that had been approved or denied",0,
RoseGeorge_2013S-480p.eng.srt,0:00:52.000605,"on a runway for months, or a year?",0,
RoseGeorge_2013S-480p.eng.srt,0:03:17.000224,as a place of industry or of work.,0,
RoseGeorge_2013S-480p.eng.srt,0:04:43.000115,"on a container ship is either tired or exhausted,",0,
RoseGeorge_2013S-480p.eng.srt,0:06:06.000006,"of Bolivia, or Mongolia,",0,
RoseGeorge_2013S-480p.eng.srt,0:10:37.000223,and get very little thanks or recognition for it.,0,
RoselindeTorres_2013S-480p.eng.srt,0:05:12.000672,like narrow 360 surveys or outdated performance criteria,0,
RoselindeTorres_2013S-480p.eng.srt,0:05:36.000076,to your business model or your life?,0,
RoselindeTorres_2013S-480p.eng.srt,0:08:13.000895,is naïve or reckless or just plain stupid.,0,
RupalPatel_2013W-480p.eng.srt,0:06:57.000194,"one- or two-sound combinations,",0,
RupalPatel_2013W-480p.eng.srt,0:07:01.000414,that start populating a dataset or a database.,0,
RyanHolladay_2013S-480p.eng.srt,0:00:20.000375,"For any of you who have visited or lived in New York City,",0,
RyanHolladay_2013S-480p.eng.srt,0:02:08.000775,"like on the walls of a gallery or a museum,",0,
RyanHolladay_2013S-480p.eng.srt,0:04:56.000548,"When they ask for a C.D. or an MP3 version,",0,
RyanHolladay_2013S-480p.eng.srt,0:05:05.000905,or a game to promote or accompany,0,
SallyKohn_2013S-480p.eng.srt,0:02:22.000982,doesn't begin with ideas or facts or data.,0,
SandraAamodt_2013G-480p.eng.srt,0:02:06.000563,of about 10 or 15 pounds.,0,
SandraAamodt_2013G-480p.eng.srt,0:03:25.000440,"and whether you started out fat or thin,",0,
SandraAamodt_2013G-480p.eng.srt,0:03:33.000310,"whether you need to lose weight or not,",0,
ShereenElFeki_2013G-480p.eng.srt,0:02:21.000341,these are topics you are not supposed to challenge in word or deed.,0,
ShereenElFeki_2013G-480p.eng.srt,0:04:30.000659,and people more or less turn a blind eye.,0,
ShereenElFeki_2013G-480p.eng.srt,0:09:30.000742,"come from ""The Joy of Sex"" or YouPorn.",0,
ShereenElFeki_2013G-480p.eng.srt,0:12:00.000301,"be it abortion, or masturbation, or even the incendiary topic of homosexuality.",0,
ShereenElFeki_2013G-480p.eng.srt,0:13:40.000722,"beating or indeed baring of breasts,",0,
ShereenElFeki_2013G-480p.eng.srt,0:14:24.000123,"to be sexually active or not, to decide whether to have children and when,",0,
ShereenElFeki_2013G-480p.eng.srt,0:14:28.000975,all this without violence or force or discrimination.,0,
SherylSandberg_2013W-480p.eng.srt,0:01:02.000613,"They might notice. Or worse, if you say ""woman,"" people on the other end of the table",0,
SherylSandberg_2013W-480p.eng.srt,0:01:06.000773,"think you're asking for special treatment, or complaining.",0,
SherylSandberg_2013W-480p.eng.srt,0:06:23.000775,"the women knew the answers just as well or better,",0,
SherylSandberg_2013W-480p.eng.srt,0:07:42.000806,"So I don't know if I'm an expert, or if anyone is an expert. I certainly have done a lot of research.",0,
SherylSandberg_2013W-480p.eng.srt,0:11:46.000393,"helps women, or men, start circles -- small groups,",0,
SherylSandberg_2013W-480p.eng.srt,0:12:09.000441,"A group of women, they're all about 29 or 30, they started the first Lean In circle in Beijing,",0,
SiddharthanChandran_2013G-480p.eng.srt,0:02:42.000760,"alone or together, can go rogue or die,",0,
